k,stage,disk,a0,a1,b
1,0,0,0.999978,0.00666652,-7.99971
1,0,1,0.957173,0.289517,-4.39678
1,0,2,0.966866,-0.255284,-4.11568
1,1,0,0.999911,0.0133321,-7.99911
1,1,1,0.926022,0.377468,-4.11172
1,1,2,0.944562,-0.328332,-3.91147
1,2,0,-0.999958,0.00919435,5.99989
1,2,1,0.341768,0.939784,-0.677481
1,2,2,0.542561,-0.840016,-1.55668
1,3,0,-0.999993,0.00361391,6.00003
1,3,1,-0.83968,0.543082,3.56942
1,3,2,-0.812378,-0.583131,3.11584
1,4,0,-0.999996,0.00283385,6.00003
1,4,1,-0.923772,0.382944,3.63971
1,4,2,-0.918193,-0.396134,3.20574
1,5,0,-0.999996,0.00271409,6.00003
1,5,1,-0.93285,0.360265,3.63782
1,5,2,-0.92883,-0.370506,3.20353
1,6,0,-0.999996,0.00276054,6.00003
1,6,1,-0.929433,0.368991,3.63887
1,6,2,-0.924848,-0.380337,3.20475
1,7,0,-0.999996,0.00282148,6.00003
1,7,1,-0.92475,0.380575,3.63964
1,7,2,-0.919348,-0.393445,3.20566
1,8,0,-0.999996,0.00285432,6.00003
1,8,1,-0.92213,0.38688,3.63977
1,8,2,-0.91625,-0.400608,3.2058
1,9,0,-0.999996,0.00286328,6.00003
1,9,1,-0.921404,0.388607,3.63976
1,9,2,-0.915388,-0.402572,3.2058
1,10,0,-0.999996,0.00286206,6.00003
1,10,1,-0.921503,0.388371,3.63977
1,10,2,-0.915506,-0.402304,3.2058
1,11,0,-0.999996,0.00285919,6.00003
1,11,1,-0.921735,0.387819,3.63977
1,11,2,-0.915782,-0.401676,3.2058
1,12,0,-0.999996,0.00285747,6.00003
1,12,1,-0.921875,0.387487,3.63977
1,12,2,-0.915948,-0.401298,3.2058
1,13,0,-0.999996,0.00285691,6.00003
1,13,1,-0.921921,0.387378,3.63977
1,13,2,-0.916002,-0.401174,3.2058
1,14,0,-0.999996,0.0028569,6.00003
1,14,1,-0.921922,0.387377,3.63977
1,14,2,-0.916003,-0.401172,3.2058
1,15,0,-0.999996,0.00285702,6.00003
1,15,1,-0.921912,0.3874,3.63977
1,15,2,-0.915991,-0.401199,3.2058
1,16,0,-0.999996,0.0028571,6.00003
1,16,1,-0.921905,0.387417,3.63977
1,16,2,-0.915983,-0.401218,3.2058
1,17,0,-0.999996,0.00285714,6.00003
1,17,1,-0.921902,0.387423,3.63977
1,17,2,-0.915979,-0.401225,3.2058
1,18,0,-0.999996,0.00285714,6.00003
1,18,1,-0.921902,0.387424,3.63977
1,18,2,-0.915979,-0.401226,3.2058
1,19,0,-0.999996,0.00285714,6.00003
1,19,1,-0.921902,0.387423,3.63977
1,19,2,-0.91598,-0.401225,3.2058
1,20,0,-0.999996,0.00285713,6.00003
1,20,1,-0.921903,0.387422,3.63977
1,20,2,-0.91598,-0.401224,3.2058
1,21,0,-0.999996,0.00285713,6.00003
1,21,1,-0.921903,0.387422,3.63977
1,21,2,-0.91598,-0.401224,3.2058
1,22,0,-0.999996,0.00285713,6.00003
1,22,1,-0.921903,0.387421,3.63977
1,22,2,-0.91598,-0.401224,3.2058
1,23,0,-0.999996,0.00285713,6.00003
1,23,1,-0.921903,0.387422,3.63977
1,23,2,-0.91598,-0.401224,3.2058
1,24,0,-0.999996,0.00285713,6.00003
1,24,1,-0.921903,0.387422,3.63977
1,24,2,-0.91598,-0.401224,3.2058
1,25,0,-0.999996,0.00285713,6.00003
1,25,1,-0.921903,0.387422,3.63977
1,25,2,-0.91598,-0.401224,3.2058
1,26,0,-0.999996,0.00285713,6.00003
1,26,1,-0.921903,0.387422,3.63977
1,26,2,-0.91598,-0.401224,3.2058
1,27,0,-0.999996,0.00285713,6.00003
1,27,1,-0.921903,0.387422,3.63977
1,27,2,-0.91598,-0.401224,3.2058
1,28,0,-0.999996,0.00285713,6.00003
1,28,1,-0.921903,0.387422,3.63977
1,28,2,-0.91598,-0.401224,3.2058
1,29,0,-0.999996,0.00285713,6.00003
1,29,1,-0.921903,0.387422,3.63977
1,29,2,-0.91598,-0.401224,3.2058
1,30,0,-0.999996,0.00285713,6.00003
1,30,1,-0.921903,0.387422,3.63977
1,30,2,-0.91598,-0.401224,3.2058
1,31,0,-0.999996,0.00285713,6.00003
1,31,1,-0.921903,0.387422,3.63977
1,31,2,-0.91598,-0.401224,3.2058
1,32,0,-0.999996,0.00285713,6.00003
1,32,1,-0.921903,0.387422,3.63977
1,32,2,-0.91598,-0.401224,3.2058
1,33,0,-0.999996,0.00285713,6.00003
1,33,1,-0.921903,0.387422,3.63977
1,33,2,-0.91598,-0.401224,3.2058
1,34,0,-0.999996,0.00285713,6.00003
1,34,1,-0.921903,0.387422,3.63977
1,34,2,-0.91598,-0.401224,3.2058
1,35,0,-0.999996,0.00285713,6.00003
1,35,1,-0.921903,0.387422,3.63977
1,35,2,-0.91598,-0.401224,3.2058
1,36,0,-0.999996,0.00285713,6.00003
1,36,1,-0.921903,0.387422,3.63977
1,36,2,-0.91598,-0.401224,3.2058
1,37,0,-0.999996,0.00285713,6.00003
1,37,1,-0.921903,0.387422,3.63977
1,37,2,-0.91598,-0.401224,3.2058
1,38,0,-0.999996,0.00285713,6.00003
1,38,1,-0.921903,0.387422,3.63977
1,38,2,-0.91598,-0.401224,3.2058
1,39,0,-0.999996,0.00285713,6.00003
1,39,1,-0.921903,0.387422,3.63977
1,39,2,-0.91598,-0.401224,3.2058
1,40,0,-0.999996,0.00285713,6.00003
1,40,1,-0.921903,0.387422,3.63977
1,40,2,-0.91598,-0.401224,3.2058
1,41,0,-0.999996,0.00285713,6.00003
1,41,1,-0.921903,0.387422,3.63977
1,41,2,-0.91598,-0.401224,3.2058
1,42,0,-0.999996,0.00285713,6.00003
1,42,1,-0.921903,0.387422,3.63977
1,42,2,-0.91598,-0.401224,3.2058
1,43,0,-0.999996,0.00285713,6.00003
1,43,1,-0.921903,0.387422,3.63977
1,43,2,-0.91598,-0.401224,3.2058
1,44,0,-0.999996,0.00285713,6.00003
1,44,1,-0.921903,0.387422,3.63977
1,44,2,-0.91598,-0.401224,3.2058
2,0,0,0.999925,0.0122317,-7.99334
2,0,1,0.934537,0.355866,-4.18649
2,0,2,0.948053,-0.318114,-3.93428
2,1,0,-0.999964,0.00849168,5.99399
2,1,1,0.378187,0.925729,-0.934433
2,1,2,0.562736,-0.826637,-1.68167
2,2,0,-0.999994,0.0033322,5.99411
2,2,1,-0.850682,0.52568,3.49966
2,2,2,-0.817776,-0.575537,3.07574
2,3,0,-0.999997,0.00261233,5.99411
2,3,1,-0.930359,0.366651,3.56658
2,3,2,-0.92158,-0.388189,3.16421
2,4,0,-0.999997,0.00250185,5.99411
2,4,1,-0.938798,0.344468,3.56482
2,4,2,-0.931884,-0.362757,3.16206
2,5,0,-0.999997,0.0025447,5.99411
2,5,1,-0.935626,0.352994,3.56579
2,5,2,-0.92803,-0.372506,3.16324
2,6,0,-0.999997,0.00260092,5.99411
2,6,1,-0.93127,0.36433,3.56651
2,6,2,-0.9227,-0.385518,3.16412
2,7,0,-0.999997,0.00263123,5.99411
2,7,1,-0.928829,0.370509,3.56663
2,7,2,-0.919695,-0.392634,3.16427
2,8,0,-0.999997,0.00263949,5.99411
2,8,1,-0.928152,0.372202,3.56663
2,8,2,-0.918859,-0.394587,3.16426
2,9,0,-0.999997,0.00263836,5.99411
2,9,1,-0.928244,0.371971,3.56663
2,9,2,-0.918973,-0.39432,3.16426
2,10,0,-0.999997,0.00263572,5.99411
2,10,1,-0.928461,0.371429,3.56663
2,10,2,-0.919241,-0.393696,3.16427
2,11,0,-0.999997,0.00263413,5.99411
2,11,1,-0.928592,0.371103,3.56663
2,11,2,-0.919402,-0.39332,3.16427
2,12,0,-0.999997,0.00263361,5.99411
2,12,1,-0.928634,0.370997,3.56663
2,12,2,-0.919454,-0.393197,3.16427
2,13,0,-0.999997,0.0026336,5.99411
2,13,1,-0.928635,0.370995,3.56663
2,13,2,-0.919455,-0.393195,3.16427
2,14,0,-0.999997,0.00263371,5.99411
2,14,1,-0.928626,0.371018,3.56663
2,14,2,-0.919444,-0.393222,3.16427
2,15,0,-0.999997,0.00263379,5.99411
2,15,1,-0.928619,0.371035,3.56663
2,15,2,-0.919436,-0.393241,3.16427
2,16,0,-0.999997,0.00263382,5.99411
2,16,1,-0.928617,0.371041,3.56663
2,16,2,-0.919432,-0.393248,3.16427
2,17,0,-0.999997,0.00263383,5.99411
2,17,1,-0.928616,0.371042,3.56663
2,17,2,-0.919432,-0.393249,3.16427
2,18,0,-0.999997,0.00263382,5.99411
2,18,1,-0.928617,0.371041,3.56663
2,18,2,-0.919433,-0.393248,3.16427
2,19,0,-0.999997,0.00263382,5.99411
2,19,1,-0.928617,0.37104,3.56663
2,19,2,-0.919433,-0.393247,3.16427
2,20,0,-0.999997,0.00263382,5.99411
2,20,1,-0.928617,0.37104,3.56663
2,20,2,-0.919433,-0.393246,3.16427
2,21,0,-0.999997,0.00263382,5.99411
2,21,1,-0.928617,0.371039,3.56663
2,21,2,-0.919433,-0.393246,3.16427
2,22,0,-0.999997,0.00263382,5.99411
2,22,1,-0.928617,0.37104,3.56663
2,22,2,-0.919433,-0.393246,3.16427
2,23,0,-0.999997,0.00263382,5.99411
2,23,1,-0.928617,0.37104,3.56663
2,23,2,-0.919433,-0.393246,3.16427
2,24,0,-0.999997,0.00263382,5.99411
2,24,1,-0.928617,0.37104,3.56663
2,24,2,-0.919433,-0.393246,3.16427
2,25,0,-0.999997,0.00263382,5.99411
2,25,1,-0.928617,0.37104,3.56663
2,25,2,-0.919433,-0.393246,3.16427
2,26,0,-0.999997,0.00263382,5.99411
2,26,1,-0.928617,0.37104,3.56663
2,26,2,-0.919433,-0.393246,3.16427
2,27,0,-0.999997,0.00263382,5.99411
2,27,1,-0.928617,0.37104,3.56663
2,27,2,-0.919433,-0.393246,3.16427
2,28,0,-0.999997,0.00263382,5.99411
2,28,1,-0.928617,0.37104,3.56663
2,28,2,-0.919433,-0.393246,3.16427
2,29,0,-0.999997,0.00263382,5.99411
2,29,1,-0.928617,0.37104,3.56663
2,29,2,-0.919433,-0.393246,3.16427
2,30,0,-0.999997,0.00263382,5.99411
2,30,1,-0.928617,0.37104,3.56663
2,30,2,-0.919433,-0.393246,3.16427
2,31,0,-0.999997,0.00263382,5.99411
2,31,1,-0.928617,0.37104,3.56663
2,31,2,-0.919433,-0.393246,3.16427
2,32,0,-0.999997,0.00263382,5.99411
2,32,1,-0.928617,0.37104,3.56663
2,32,2,-0.919433,-0.393246,3.16427
2,33,0,-0.999997,0.00263382,5.99411
2,33,1,-0.928617,0.37104,3.56663
2,33,2,-0.919433,-0.393246,3.16427
2,34,0,-0.999997,0.00263382,5.99411
2,34,1,-0.928617,0.37104,3.56663
2,34,2,-0.919433,-0.393246,3.16427
2,35,0,-0.999997,0.00263382,5.99411
2,35,1,-0.928617,0.37104,3.56663
2,35,2,-0.919433,-0.393246,3.16427
2,36,0,-0.999997,0.00263382,5.99411
2,36,1,-0.928617,0.37104,3.56663
2,36,2,-0.919433,-0.393246,3.16427
2,37,0,-0.999997,0.00263382,5.99411
2,37,1,-0.928617,0.37104,3.56663
2,37,2,-0.919433,-0.393246,3.16427
2,38,0,-0.999997,0.00263382,5.99411
2,38,1,-0.928617,0.37104,3.56663
2,38,2,-0.919433,-0.393246,3.16427
2,39,0,-0.999997,0.00263382,5.99411
2,39,1,-0.928617,0.37104,3.56663
2,39,2,-0.919433,-0.393246,3.16427
2,40,0,-0.999997,0.00263382,5.99411
2,40,1,-0.928617,0.37104,3.56663
2,40,2,-0.919433,-0.393246,3.16427
2,41,0,-0.999997,0.00263382,5.99411
2,41,1,-0.928617,0.37104,3.56663
2,41,2,-0.919433,-0.393246,3.16427
2,42,0,-0.999997,0.00263382,5.99411
2,42,1,-0.928617,0.37104,3.56663
2,42,2,-0.919433,-0.393246,3.16427
2,43,0,-0.999997,0.00263382,5.99411
2,43,1,-0.928617,0.37104,3.56663
2,43,2,-0.919433,-0.393246,3.16427
2,44,0,-0.999997,0.00263382,5.99411
2,44,1,-0.928617,0.37104,3.56663
2,44,2,-0.919433,-0.393246,3.16427
3,0,0,-0.999979,0.00643933,5.98865
3,0,1,0.418787,0.908085,-1.22663
3,0,2,0.577966,-0.816061,-1.77771
3,1,0,-0.999997,0.00252299,5.98872
3,1,1,-0.864819,0.502084,3.43144
3,1,2,-0.822439,-0.568854,3.04688
3,2,0,-0.999998,0.00197753,5.98872
3,2,1,-0.938282,0.345872,3.49348
3,2,2,-0.924352,-0.38154,3.13395
3,3,0,-0.999998,0.00189383,5.98872
3,3,1,-0.945897,0.324466,3.49189
3,3,2,-0.93437,-0.356305,3.13187
3,4,0,-0.999998,0.00192629,5.98872
3,4,1,-0.943039,0.332683,3.49277
3,4,2,-0.930625,-0.365973,3.13301
3,5,0,-0.999998,0.00196888,5.98872
3,5,1,-0.939106,0.343628,3.49342
3,5,2,-0.925443,-0.378887,3.13387
3,6,0,-0.999998,0.00199184,5.98872
3,6,1,-0.936898,0.349604,3.49352
3,6,2,-0.922518,-0.385955,3.13401
3,7,0,-0.999998,0.0019981,5.98872
3,7,1,-0.936285,0.351242,3.49352
3,7,2,-0.921704,-0.387894,3.134
3,8,0,-0.999998,0.00199724,5.98872
3,8,1,-0.936369,0.351018,3.49352
3,8,2,-0.921815,-0.38763,3.13401
3,9,0,-0.999998,0.00199524,5.98872
3,9,1,-0.936565,0.350494,3.49352
3,9,2,-0.922076,-0.387009,3.13401
3,10,0,-0.999998,0.00199404,5.98872
3,10,1,-0.936683,0.350179,3.49352
3,10,2,-0.922232,-0.386636,3.13401
3,11,0,-0.999998,0.00199365,5.98872
3,11,1,-0.936721,0.350076,3.49352
3,11,2,-0.922284,-0.386514,3.13401
3,12,0,-0.999998,0.00199364,5.98872
3,12,1,-0.936722,0.350074,3.49352
3,12,2,-0.922284,-0.386512,3.13401
3,13,0,-0.999998,0.00199372,5.98872
3,13,1,-0.936714,0.350097,3.49352
3,13,2,-0.922273,-0.386538,3.13401
3,14,0,-0.999998,0.00199378,5.98872
3,14,1,-0.936708,0.350112,3.49352
3,14,2,-0.922265,-0.386557,3.13401
3,15,0,-0.999998,0.00199381,5.98872
3,15,1,-0.936705,0.350118,3.49352
3,15,2,-0.922262,-0.386564,3.13401
3,16,0,-0.999998,0.00199381,5.98872
3,16,1,-0.936705,0.350119,3.49352
3,16,2,-0.922262,-0.386565,3.13401
3,17,0,-0.999998,0.00199381,5.98872
3,17,1,-0.936706,0.350118,3.49352
3,17,2,-0.922263,-0.386564,3.13401
3,18,0,-0.999998,0.0019938,5.98872
3,18,1,-0.936706,0.350117,3.49352
3,18,2,-0.922263,-0.386563,3.13401
3,19,0,-0.999998,0.0019938,5.98872
3,19,1,-0.936706,0.350117,3.49352
3,19,2,-0.922263,-0.386563,3.13401
3,20,0,-0.999998,0.0019938,5.98872
3,20,1,-0.936706,0.350117,3.49352
3,20,2,-0.922263,-0.386563,3.13401
3,21,0,-0.999998,0.0019938,5.98872
3,21,1,-0.936706,0.350117,3.49352
3,21,2,-0.922263,-0.386563,3.13401
3,22,0,-0.999998,0.0019938,5.98872
3,22,1,-0.936706,0.350117,3.49352
3,22,2,-0.922263,-0.386563,3.13401
3,23,0,-0.999998,0.0019938,5.98872
3,23,1,-0.936706,0.350117,3.49352
3,23,2,-0.922263,-0.386563,3.13401
3,24,0,-0.999998,0.0019938,5.98872
3,24,1,-0.936706,0.350117,3.49352
3,24,2,-0.922263,-0.386563,3.13401
3,25,0,-0.999998,0.0019938,5.98872
3,25,1,-0.936706,0.350117,3.49352
3,25,2,-0.922263,-0.386563,3.13401
3,26,0,-0.999998,0.0019938,5.98872
3,26,1,-0.936706,0.350117,3.49352
3,26,2,-0.922263,-0.386563,3.13401
3,27,0,-0.999998,0.0019938,5.98872
3,27,1,-0.936706,0.350117,3.49352
3,27,2,-0.922263,-0.386563,3.13401
3,28,0,-0.999998,0.0019938,5.98872
3,28,1,-0.936706,0.350117,3.49352
3,28,2,-0.922263,-0.386563,3.13401
3,29,0,-0.999998,0.0019938,5.98872
3,29,1,-0.936706,0.350117,3.49352
3,29,2,-0.922263,-0.386563,3.13401
3,30,0,-0.999998,0.0019938,5.98872
3,30,1,-0.936706,0.350117,3.49352
3,30,2,-0.922263,-0.386563,3.13401
3,31,0,-0.999998,0.0019938,5.98872
3,31,1,-0.936706,0.350117,3.49352
3,31,2,-0.922263,-0.386563,3.13401
3,32,0,-0.999998,0.0019938,5.98872
3,32,1,-0.936706,0.350117,3.49352
3,32,2,-0.922263,-0.386563,3.13401
3,33,0,-0.999998,0.0019938,5.98872
3,33,1,-0.936706,0.350117,3.49352
3,33,2,-0.922263,-0.386563,3.13401
3,34,0,-0.999998,0.0019938,5.98872
3,34,1,-0.936706,0.350117,3.49352
3,34,2,-0.922263,-0.386563,3.13401
3,35,0,-0.999998,0.0019938,5.98872
3,35,1,-0.936706,0.350117,3.49352
3,35,2,-0.922263,-0.386563,3.13401
3,36,0,-0.999998,0.0019938,5.98872
3,36,1,-0.936706,0.350117,3.49352
3,36,2,-0.922263,-0.386563,3.13401
3,37,0,-0.999998,0.0019938,5.98872
3,37,1,-0.936706,0.350117,3.49352
3,37,2,-0.922263,-0.386563,3.13401
3,38,0,-0.999998,0.0019938,5.98872
3,38,1,-0.936706,0.350117,3.49352
3,38,2,-0.922263,-0.386563,3.13401
3,39,0,-0.999998,0.0019938,5.98872
3,39,1,-0.936706,0.350117,3.49352
3,39,2,-0.922263,-0.386563,3.13401
3,40,0,-0.999998,0.0019938,5.98872
3,40,1,-0.936706,0.350117,3.49352
3,40,2,-0.922263,-0.386563,3.13401
3,41,0,-0.999998,0.0019938,5.98872
3,41,1,-0.936706,0.350117,3.49352
3,41,2,-0.922263,-0.386563,3.13401
3,42,0,-0.999998,0.0019938,5.98872
3,42,1,-0.936706,0.350117,3.49352
3,42,2,-0.922263,-0.386563,3.13401
3,43,0,-0.999998,0.0019938,5.98872
3,43,1,-0.936706,0.350117,3.49352
3,43,2,-0.922263,-0.386563,3.13401
3,44,0,-0.999998,0.0019938,5.98872
3,44,1,-0.936706,0.350117,3.49352
3,44,2,-0.922263,-0.386563,3.13401
4,0,0,-0.999999,0.00131325,5.98434
4,0,1,-0.879495,0.475908,3.37305
4,0,2,-0.829639,-0.558301,3.02331
4,1,0,-0.999999,0.00102915,5.98434
4,1,1,-0.946088,0.323911,3.42958
4,1,2,-0.928165,-0.37217,3.1077
4,2,0,-1,0.000985569,5.98434
4,2,1,-0.95285,0.303443,3.42817
4,2,2,-0.937747,-0.347318,3.10571
4,3,0,-0.999999,0.00100247,5.98434
4,3,1,-0.950315,0.311291,3.42895
4,3,2,-0.934168,-0.356834,3.1068
4,4,0,-0.999999,0.00102465,5.98434
4,4,1,-0.946821,0.321762,3.42952
4,4,2,-0.929209,-0.369555,3.10762
4,5,0,-0.999999,0.00103661,5.98434
4,5,1,-0.944856,0.327487,3.42962
4,5,2,-0.926408,-0.376522,3.10776
4,6,0,-0.999999,0.00103987,5.98434
4,6,1,-0.94431,0.329057,3.42962
4,6,2,-0.925628,-0.378435,3.10775
4,7,0,-0.999999,0.00103942,5.98434
4,7,1,-0.944385,0.328843,3.42962
4,7,2,-0.925734,-0.378174,3.10776
4,8,0,-0.999999,0.00103838,5.98434
4,8,1,-0.944559,0.328341,3.42962
4,8,2,-0.925984,-0.377562,3.10776
4,9,0,-0.999999,0.00103775,5.98434
4,9,1,-0.944664,0.328038,3.42962
4,9,2,-0.926134,-0.377194,3.10776
4,10,0,-0.999999,0.00103755,5.98434
4,10,1,-0.944699,0.327939,3.42962
4,10,2,-0.926183,-0.377074,3.10776
4,11,0,-0.999999,0.00103754,5.98434
4,11,1,-0.944699,0.327938,3.42962
4,11,2,-0.926184,-0.377072,3.10776
4,12,0,-0.999999,0.00103759,5.98434
4,12,1,-0.944692,0.327959,3.42962
4,12,2,-0.926173,-0.377098,3.10776
4,13,0,-0.999999,0.00103762,5.98434
4,13,1,-0.944687,0.327974,3.42962
4,13,2,-0.926166,-0.377116,3.10776
4,14,0,-0.999999,0.00103763,5.98434
4,14,1,-0.944685,0.32798,3.42962
4,14,2,-0.926163,-0.377123,3.10776
4,15,0,-0.999999,0.00103763,5.98434
4,15,1,-0.944684,0.327981,3.42962
4,15,2,-0.926163,-0.377124,3.10776
4,16,0,-0.999999,0.00103763,5.98434
4,16,1,-0.944685,0.32798,3.42962
4,16,2,-0.926163,-0.377123,3.10776
4,17,0,-0.999999,0.00103763,5.98434
4,17,1,-0.944685,0.327979,3.42962
4,17,2,-0.926163,-0.377122,3.10776
4,18,0,-0.999999,0.00103763,5.98434
4,18,1,-0.944685,0.327979,3.42962
4,18,2,-0.926164,-0.377122,3.10776
4,19,0,-0.999999,0.00103763,5.98434
4,19,1,-0.944685,0.327979,3.42962
4,19,2,-0.926164,-0.377122,3.10776
4,20,0,-0.999999,0.00103763,5.98434
4,20,1,-0.944685,0.327979,3.42962
4,20,2,-0.926164,-0.377122,3.10776
4,21,0,-0.999999,0.00103763,5.98434
4,21,1,-0.944685,0.327979,3.42962
4,21,2,-0.926164,-0.377122,3.10776
4,22,0,-0.999999,0.00103763,5.98434
4,22,1,-0.944685,0.327979,3.42962
4,22,2,-0.926164,-0.377122,3.10776
4,23,0,-0.999999,0.00103763,5.98434
4,23,1,-0.944685,0.327979,3.42962
4,23,2,-0.926164,-0.377122,3.10776
4,24,0,-0.999999,0.00103763,5.98434
4,24,1,-0.944685,0.327979,3.42962
4,24,2,-0.926164,-0.377122,3.10776
4,25,0,-0.999999,0.00103763,5.98434
4,25,1,-0.944685,0.327979,3.42962
4,25,2,-0.926164,-0.377122,3.10776
4,26,0,-0.999999,0.00103763,5.98434
4,26,1,-0.944685,0.327979,3.42962
4,26,2,-0.926164,-0.377122,3.10776
4,27,0,-0.999999,0.00103763,5.98434
4,27,1,-0.944685,0.327979,3.42962
4,27,2,-0.926164,-0.377122,3.10776
4,28,0,-0.999999,0.00103763,5.98434
4,28,1,-0.944685,0.327979,3.42962
4,28,2,-0.926164,-0.377122,3.10776
4,29,0,-0.999999,0.00103763,5.98434
4,29,1,-0.944685,0.327979,3.42962
4,29,2,-0.926164,-0.377122,3.10776
4,30,0,-0.999999,0.00103763,5.98434
4,30,1,-0.944685,0.327979,3.42962
4,30,2,-0.926164,-0.377122,3.10776
4,31,0,-0.999999,0.00103763,5.98434
4,31,1,-0.944685,0.327979,3.42962
4,31,2,-0.926164,-0.377122,3.10776
4,32,0,-0.999999,0.00103763,5.98434
4,32,1,-0.944685,0.327979,3.42962
4,32,2,-0.926164,-0.377122,3.10776
4,33,0,-0.999999,0.00103763,5.98434
4,33,1,-0.944685,0.327979,3.42962
4,33,2,-0.926164,-0.377122,3.10776
4,34,0,-0.999999,0.00103763,5.98434
4,34,1,-0.944685,0.327979,3.42962
4,34,2,-0.926164,-0.377122,3.10776
4,35,0,-0.999999,0.00103763,5.98434
4,35,1,-0.944685,0.327979,3.42962
4,35,2,-0.926164,-0.377122,3.10776
4,36,0,-0.999999,0.00103763,5.98434
4,36,1,-0.944685,0.327979,3.42962
4,36,2,-0.926164,-0.377122,3.10776
4,37,0,-0.999999,0.00103763,5.98434
4,37,1,-0.944685,0.327979,3.42962
4,37,2,-0.926164,-0.377122,3.10776
4,38,0,-0.999999,0.00103763,5.98434
4,38,1,-0.944685,0.327979,3.42962
4,38,2,-0.926164,-0.377122,3.10776
4,39,0,-0.999999,0.00103763,5.98434
4,39,1,-0.944685,0.327979,3.42962
4,39,2,-0.926164,-0.377122,3.10776
4,40,0,-0.999999,0.00103763,5.98434
4,40,1,-0.944685,0.327979,3.42962
4,40,2,-0.926164,-0.377122,3.10776
4,41,0,-0.999999,0.00103763,5.98434
4,41,1,-0.944685,0.327979,3.42962
4,41,2,-0.926164,-0.377122,3.10776
4,42,0,-0.999999,0.00103763,5.98434
4,42,1,-0.944685,0.327979,3.42962
4,42,2,-0.926164,-0.377122,3.10776
4,43,0,-0.999999,0.00103763,5.98434
4,43,1,-0.944685,0.327979,3.42962
4,43,2,-0.926164,-0.377122,3.10776
